base_trade_pct,trigger_pct,max_trade_usd,min_trade_usd,multiplier,Market_Trend,Avg_Trading_Profit_USD,Avg_Hold_Profit_USD,Total_Months,Avg_Num_Trades,Profit_Diff
0.2,0.2,500,15,1.2,Bearish,-150.46,-154.27,7,2.86,3.8100000000000023
0.2,0.2,750,15,1.2,Bearish,-150.46,-154.27,7,2.86,3.8100000000000023
0.3,0.2,500,15,1.2,Bearish,-150.52,-154.27,7,2.86,3.75
0.3,0.2,750,15,1.2,Bearish,-150.52,-154.27,7,2.86,3.75
0.3,0.2,1000,15,1.2,Bearish,-150.52,-154.27,7,2.86,3.75
0.4,0.2,1000,15,1.2,Bearish,-151.28,-154.27,7,2.86,2.990000000000009
0.2,0.2,500,15,1.1,Bearish,-151.46,-154.27,7,2.86,2.8100000000000023
0.1,0.2,500,15,1.2,Bearish,-151.55,-154.27,7,2.86,2.719999999999999
0.1,0.2,750,15,1.2,Bearish,-151.55,-154.27,7,2.86,2.719999999999999
0.3,0.2,1000,15,1.1,Bearish,-151.63,-154.27,7,2.86,2.640000000000015
0.3,0.2,500,15,1.1,Bearish,-151.63,-154.27,7,2.86,2.640000000000015
0.3,0.2,750,15,1.1,Bearish,-151.63,-154.27,7,2.86,2.640000000000015
0.1,0.2,500,15,1.1,Bearish,-152.2,-154.27,7,2.86,2.0700000000000216
0.4,0.2,1000,15,1.1,Bearish,-152.31,-154.27,7,2.86,1.960000000000008
0.4,0.2,750,15,1.1,Bearish,-152.31,-154.27,7,2.86,1.960000000000008
0.5,0.2,750,15,1.2,Bearish,-152.38,-154.27,7,2.86,1.8900000000000148
0.2,0.2,500,15,1.0,Bearish,-152.43,-154.27,7,2.86,1.8400000000000034
0.2,0.2,750,15,1.0,Bearish,-152.43,-154.27,7,2.86,1.8400000000000034
0.2,0.2,1000,15,1.0,Bearish,-152.43,-154.27,7,2.86,1.8400000000000034
0.3,0.2,1000,15,1.0,Bearish,-152.73,-154.27,7,2.86,1.5400000000000205
0.3,0.2,500,15,1.0,Bearish,-152.73,-154.27,7,2.86,1.5400000000000205
0.1,0.2,500,15,1.0,Bearish,-152.82,-154.27,7,2.86,1.450000000000017
0.5,0.2,750,15,1.1,Bearish,-153.23,-154.27,7,2.86,1.0400000000000205
0.5,0.2,1000,15,1.1,Bearish,-153.23,-154.27,7,2.86,1.0400000000000205
0.4,0.2,500,15,1.0,Bearish,-153.38,-154.27,7,2.86,0.8900000000000148
0.5,0.2,500,15,1.0,Bearish,-154.16,-154.27,7,2.86,0.11000000000001364
0.5,0.2,1000,15,1.0,Bearish,-154.16,-154.27,7,2.86,0.11000000000001364
0.5,0.1,1000,15,1.1,Bearish,-157.48,-154.27,7,9.71,-3.2099999999999795
0.5,0.1,750,15,1.1,Bearish,-157.48,-154.27,7,9.71,-3.2099999999999795
0.5,0.1,500,15,1.1,Bearish,-157.48,-154.27,7,9.71,-3.2099999999999795
0.1,0.05,750,15,1.2,Bearish,-157.49,-154.27,7,32.43,-3.219999999999999
0.1,0.1,1000,15,1.0,Bearish,-157.52,-154.27,7,9.86,-3.25
0.1,0.1,500,15,1.0,Bearish,-157.52,-154.27,7,9.86,-3.25
0.2,0.05,1000,15,1.2,Bearish,-157.82,-154.27,7,32.43,-3.549999999999983
0.2,0.05,750,15,1.2,Bearish,-157.82,-154.27,7,32.43,-3.549999999999983
0.1,0.1,1000,15,1.1,Bearish,-158.05,-154.27,7,9.86,-3.780000000000001
0.1,0.1,500,15,1.1,Bearish,-158.05,-154.27,7,9.86,-3.780000000000001
0.1,0.1,500,15,1.2,Bearish,-158.7,-154.27,7,9.86,-4.429999999999978
0.1,0.05,1000,15,1.1,Bearish,-158.76,-154.27,7,32.43,-4.489999999999981
0.1,0.05,500,15,1.1,Bearish,-158.76,-154.27,7,32.43,-4.489999999999981
0.1,0.05,750,15,1.1,Bearish,-158.76,-154.27,7,32.43,-4.489999999999981
0.2,0.05,500,15,1.1,Bearish,-159.04,-154.27,7,32.43,-4.769999999999982
0.4,0.1,750,15,1.0,Bearish,-160.06,-154.27,7,9.86,-5.789999999999992
0.4,0.1,500,15,1.1,Bearish,-160.37,-154.27,7,9.86,-6.099999999999994
0.2,0.05,500,15,1.0,Bearish,-160.48,-154.27,7,32.43,-6.2099999999999795
0.2,0.05,1000,15,1.0,Bearish,-160.48,-154.27,7,32.43,-6.2099999999999795
0.2,0.05,750,15,1.0,Bearish,-160.48,-154.27,7,32.43,-6.2099999999999795
0.2,0.1,500,15,1.0,Bearish,-160.51,-154.27,7,9.86,-6.239999999999981
0.2,0.1,750,15,1.0,Bearish,-160.51,-154.27,7,9.86,-6.239999999999981
0.3,0.1,1000,15,1.0,Bearish,-161.29,-154.27,7,9.86,-7.019999999999982
0.3,0.1,750,15,1.0,Bearish,-161.29,-154.27,7,9.86,-7.019999999999982
0.3,0.1,500,15,1.0,Bearish,-161.29,-154.27,7,9.86,-7.019999999999982
0.2,0.1,500,15,1.1,Bearish,-161.45,-154.27,7,9.86,-7.179999999999978
0.3,0.05,750,15,1.1,Bearish,-161.77,-154.27,7,32.43,-7.5
0.3,0.05,1000,15,1.0,Bearish,-162.4,-154.27,7,32.43,-8.129999999999995
0.3,0.05,500,15,1.0,Bearish,-162.4,-154.27,7,32.43,-8.129999999999995
0.3,0.05,750,15,1.0,Bearish,-162.4,-154.27,7,32.43,-8.129999999999995
0.3,0.05,750,15,1.2,Bearish,-162.51,-154.27,7,32.29,-8.23999999999998
0.3,0.05,1000,15,1.2,Bearish,-162.51,-154.27,7,32.29,-8.23999999999998
0.2,0.1,500,15,1.2,Bearish,-162.52,-154.27,7,9.86,-8.25
0.2,0.1,1000,15,1.2,Bearish,-162.52,-154.27,7,9.86,-8.25
0.3,0.1,500,15,1.2,Bearish,-162.89,-154.27,7,9.86,-8.619999999999976
0.1,0.02,750,15,1.0,Bearish,-167.12,-154.27,7,129.57,-12.849999999999994
