Month,Open_Price,Close_Price,Num_Trades,Simulation_Final_USD,Hold_Final_USD,Profit_Trading_USD,Profit_Hold_USD,Pct_Change_Trading,Pct_Change_Hold
ETHUSDC-15m-2020-01,128.39,179.68,34,1137.37,1199.74,137.37,199.74,13.74,19.97
ETHUSDC-15m-2020-02,179.84,217.5,60,1105.19,1104.7,105.19,104.7,10.52,10.47
ETHUSDC-15m-2020-03,219.44,133.14,138,789.01,803.36,-210.99,-196.64,-21.1,-19.66
ETHUSDC-15m-2020-04,132.46,206.41,52,1175.08,1279.14,175.08,279.14,17.51,27.91
ETHUSDC-15m-2020-05,207.81,231.35,34,1058.78,1056.64,58.78,56.64,5.88,5.66
ETHUSDC-15m-2020-06,232.82,225.64,18,1011.92,984.58,11.92,-15.42,1.19,-1.54
ETHUSDC-15m-2020-07,224.7,347.0,28,1158.09,1272.14,158.09,272.14,15.81,27.21
ETHUSDC-15m-2020-08,345.41,433.76,43,1116.83,1127.89,116.83,127.89,11.68,12.79
ETHUSDC-15m-2020-09,432.28,359.77,60,934.87,916.13,-65.13,-83.87,-6.51,-8.39
ETHUSDC-15m-2020-10,360.16,386.89,18,1051.58,1037.11,51.58,37.11,5.16,3.71
ETHUSDC-15m-2020-11,390.05,617.34,56,1151.25,1291.36,151.25,291.36,15.13,29.14
ETHUSDC-15m-2020-12,612.11,737.27,44,1122.02,1102.24,122.02,102.24,12.2,10.22
ETHUSDC-15m-2021-01,732.11,1314.31,184,1299.54,1397.62,299.54,397.62,29.95,39.76
ETHUSDC-15m-2021-02,1290.82,1420.92,101,1105.15,1050.39,105.15,50.39,10.52,5.04
ETHUSDC-15m-2021-03,1423.77,1918.15,51,1133.53,1173.62,133.53,173.62,13.35,17.36
ETHUSDC-15m-2021-04,1926.87,2777.42,69,1163.76,1220.71,163.76,220.71,16.38,22.07
ETHUSDC-15m-2021-05,2778.47,2705.04,199,1101.85,986.79,101.85,-13.21,10.18,-1.32
ETHUSDC-15m-2021-06,2735.01,2275.12,81,909.4,915.93,-90.6,-84.07,-9.06,-8.41
