base_trade_pct,trigger_pct,max_trade_usd,min_trade_usd,multiplier,Market_Trend,Avg_Trading_Profit_USD,Avg_Hold_Profit_USD,Total_Months,Avg_Num_Trades,combo_key,Profit_Diff
0.3,0.04,750,15,1.1,Bearish,-95.01,-109.83,16,34.94,0.3_0.04_750_15_1.1,14.819999999999993
0.2,0.04,500,15,1.1,Bearish,-98.58,-109.83,16,34.94,0.2_0.04_500_15_1.1,11.25
0.3,0.035,250,15,1.1,Bearish,-98.9,-109.83,16,42.81,0.3_0.035_250_15_1.1,10.929999999999993
0.2,0.035,750,15,1.2,Bearish,-99.44,-109.83,16,42.81,0.2_0.035_750_15_1.2,10.39
0.3,0.035,500,15,1.05,Bearish,-99.69,-109.83,16,42.81,0.3_0.035_500_15_1.05,10.14
0.25,0.035,500,15,1.1,Bearish,-99.73,-109.83,16,42.81,0.25_0.035_500_15_1.1,10.099999999999994
0.25,0.035,500,15,1.1,Bearish,-99.73,-109.83,16,42.81,0.25_0.035_500_15_1.1,10.099999999999994
0.15,0.04,500,15,1.2,Bearish,-99.94,-109.83,16,34.94,0.15_0.04_500_15_1.2,9.89
0.2,0.035,750,15,1.15,Bearish,-100.08,-109.83,16,42.88,0.2_0.035_750_15_1.15,9.75
0.15,0.035,500,15,1.2,Bearish,-101.2,-109.83,16,42.88,0.15_0.035_500_15_1.2,8.629999999999995
0.15,0.04,250,15,1.1,Bearish,-101.26,-109.83,16,34.94,0.15_0.04_250_15_1.1,8.569999999999993
0.15,0.04,500,15,1.1,Bearish,-101.26,-109.83,16,34.94,0.15_0.04_500_15_1.1,8.569999999999993
0.2,0.03,250,15,1.2,Bearish,-101.67,-109.83,16,54.75,0.2_0.03_250_15_1.2,8.159999999999997
0.2,0.03,250,15,1.15,Bearish,-102.29,-109.83,16,54.81,0.2_0.03_250_15_1.15,7.539999999999992
0.2,0.03,500,15,1.15,Bearish,-102.29,-109.83,16,54.81,0.2_0.03_500_15_1.15,7.539999999999992
0.15,0.03,250,15,1.15,Bearish,-102.9,-109.83,16,54.81,0.15_0.03_250_15_1.15,6.929999999999993
0.2,0.03,500,15,1.1,Bearish,-102.96,-109.83,16,54.81,0.2_0.03_500_15_1.1,6.8700000000000045
0.2,0.03,750,15,1.1,Bearish,-102.96,-109.83,16,54.81,0.2_0.03_750_15_1.1,6.8700000000000045
0.25,0.03,500,15,1.1,Bearish,-103.05,-109.83,16,54.75,0.25_0.03_500_15_1.1,6.780000000000001
0.25,0.03,250,15,1.1,Bearish,-103.05,-109.83,16,54.75,0.25_0.03_250_15_1.1,6.780000000000001
0.15,0.03,250,15,1.1,Bearish,-103.58,-109.83,16,54.81,0.15_0.03_250_15_1.1,6.25
0.15,0.03,500,15,1.1,Bearish,-103.58,-109.83,16,54.81,0.15_0.03_500_15_1.1,6.25
0.15,0.03,500,15,1.1,Bearish,-103.58,-109.83,16,54.81,0.15_0.03_500_15_1.1,6.25
0.2,0.03,250,15,1.05,Bearish,-103.65,-109.83,16,54.81,0.2_0.03_250_15_1.05,6.179999999999993
0.1,0.04,250,15,1.15,Bearish,-103.81,-109.83,16,34.94,0.1_0.04_250_15_1.15,6.019999999999996
0.3,0.03,500,15,1.05,Bearish,-104.17,-109.83,16,54.75,0.3_0.03_500_15_1.05,5.659999999999997
0.15,0.03,250,15,1.05,Bearish,-104.25,-109.83,16,54.81,0.15_0.03_250_15_1.05,5.579999999999998
0.1,0.04,750,15,1.1,Bearish,-104.26,-109.83,16,34.94,0.1_0.04_750_15_1.1,5.569999999999993
0.1,0.035,750,15,1.05,Bearish,-105.43,-109.83,16,42.88,0.1_0.035_750_15_1.05,4.3999999999999915
0.1,0.03,500,15,1.05,Bearish,-105.65,-109.83,16,54.81,0.1_0.03_500_15_1.05,4.179999999999993
0.1,0.025,500,15,1.15,Bearish,-105.78,-109.83,16,74.5,0.1_0.025_500_15_1.15,4.049999999999997
0.1,0.025,250,15,1.15,Bearish,-105.78,-109.83,16,74.5,0.1_0.025_250_15_1.15,4.049999999999997
0.1,0.025,750,15,1.15,Bearish,-105.78,-109.83,16,74.5,0.1_0.025_750_15_1.15,4.049999999999997
0.15,0.025,750,15,1.2,Bearish,-105.89,-109.83,16,74.56,0.15_0.025_750_15_1.2,3.9399999999999977
0.15,0.025,500,15,1.2,Bearish,-105.89,-109.83,16,74.56,0.15_0.025_500_15_1.2,3.9399999999999977
0.1,0.025,500,15,1.1,Bearish,-106.54,-109.83,16,74.56,0.1_0.025_500_15_1.1,3.289999999999992
0.1,0.025,250,15,1.1,Bearish,-106.54,-109.83,16,74.56,0.1_0.025_250_15_1.1,3.289999999999992
0.15,0.025,250,15,1.15,Bearish,-106.55,-109.83,16,74.56,0.15_0.025_250_15_1.15,3.280000000000001
0.15,0.025,250,15,1.1,Bearish,-107.25,-109.83,16,74.56,0.15_0.025_250_15_1.1,2.5799999999999983
0.1,0.025,250,15,1.05,Bearish,-107.25,-109.83,16,74.56,0.1_0.025_250_15_1.05,2.5799999999999983
0.15,0.025,750,15,1.1,Bearish,-107.25,-109.83,16,74.56,0.15_0.025_750_15_1.1,2.5799999999999983
0.1,0.02,500,15,1.05,Bearish,-107.27,-109.83,16,105.81,0.1_0.02_500_15_1.05,2.5600000000000023
0.15,0.02,500,15,1.2,Bearish,-107.99,-109.83,16,105.62,0.15_0.02_500_15_1.2,1.8400000000000034
0.2,0.025,500,15,1.1,Bearish,-109.41,-109.83,16,74.56,0.2_0.025_500_15_1.1,0.4200000000000017
0.2,0.02,500,15,1.2,Bearish,-110.71,-109.83,16,105.25,0.2_0.02_500_15_1.2,-0.8799999999999955
0.25,0.02,250,15,1.1,Bearish,-113.77,-109.83,16,105.25,0.25_0.02_250_15_1.1,-3.9399999999999977
0.25,0.02,250,15,1.1,Bearish,-113.77,-109.83,16,105.25,0.25_0.02_250_15_1.1,-3.9399999999999977
0.3,0.025,750,15,1.1,Bearish,-115.91,-109.83,16,73.88,0.3_0.025_750_15_1.1,-6.079999999999998
0.3,0.025,500,15,1.05,Bearish,-116.01,-109.83,16,74.31,0.3_0.025_500_15_1.05,-6.180000000000007
0.3,0.02,500,15,1.05,Bearish,-116.46,-109.83,16,105.19,0.3_0.02_500_15_1.05,-6.6299999999999955
