base_trade_pct,trigger_pct,max_trade_usd,min_trade_usd,multiplier,Market_Trend,Avg_Trading_Profit_USD,Avg_Hold_Profit_USD,Total_Months,Avg_Num_Trades,Profit_Diff
0.2,0.2,1000,15,1.2,Bearish,-150.46,-154.27,7,2.86,3.8100000000000023
0.2,0.2,500,15,1.0,Bearish,-152.43,-154.27,7,2.86,1.8400000000000034
0.2,0.05,1000,15,1.1,Bearish,-159.04,-154.27,7,32.43,-4.769999999999982
0.2,0.1,500,15,1.0,Bearish,-160.51,-154.27,7,9.86,-6.239999999999981
0.4,0.05,1000,15,1.0,Bearish,-167.2,-154.27,7,32.29,-12.929999999999978
0.2,0.2,500,15,1.0,Bullish,192.51,214.69,17,1.88,-22.180000000000007
0.2,0.2,1000,15,1.2,Bullish,192.29,214.69,17,1.88,-22.400000000000006
0.2,0.1,500,15,1.0,Bullish,183.06,214.69,17,6.18,-31.629999999999995
0.2,0.05,1000,15,1.1,Bullish,180.18,214.69,17,22.06,-34.50999999999999
0.4,0.05,1000,15,1.0,Bullish,172.65,214.69,17,21.76,-42.03999999999999
0.4,0.05,1000,15,1.0,Sideways,13.5,-4.99,36,15.22,18.490000000000002
0.2,0.05,1000,15,1.1,Sideways,11.13,-4.99,36,15.22,16.12
0.2,0.1,500,15,1.0,Sideways,6.43,-4.99,36,3.72,11.42
0.2,0.2,1000,15,1.2,Sideways,4.29,-4.99,36,0.83,9.280000000000001
0.2,0.2,500,15,1.0,Sideways,3.52,-4.99,36,0.83,8.51
