base_trade_percentage,trigger_percentage,max_trade_usd,min_trade_usd,multiplier,final_eth_balance,final_usdc_balance,total_usd_value
0.02,0.2,10000,15,5,0.27489501,891.86,1587.2
0.1,0.2,10000,15,2,0.22841809,798.02,1375.8
0.05,0.2,10000,15,2,0.24910033,620.41,1250.51
0.02,0.1,10000,15,2,0.06505991,1044.09,1208.65
0.1,0.2,10000,15,5,0.0,1207.67,1207.67
0.05,0.2,10000,15,5,0.0,1191.1,1191.1
0.05,0.1,10000,15,2,0.0,1162.89,1162.89
0.02,0.2,10000,15,2,0.20399087,540.23,1056.23
0.1,0.1,10000,15,1,0.16828327,594.94,1020.61
0.05,0.1,10000,15,1,0.18437148,542.3,1008.67
0.1,0.2,10000,15,1,0.17221206,561.6,997.21
1.0,0.1,10000,15,5,0.0,971.34,971.34
1.0,0.1,10000,15,2,0.0,971.34,971.34
1.0,0.1,10000,15,1,0.0,971.34,971.34
0.02,0.1,10000,15,5,0.0,957.92,957.92
0.05,0.2,10000,15,1,0.17636132,509.8,955.91
0.1,0.1,10000,15,2,0.0,951.56,951.56
0.05,0.02,10000,15,1,0.1756008,504.41,948.59
0.5,0.1,10000,15,1,0.00816334,910.48,931.13
0.5,0.2,10000,15,1,0.05019101,785.0,911.96
0.1,0.02,10000,15,1,0.18173676,433.84,893.54
0.05,0.1,10000,15,5,0.0,893.38,893.38
0.02,0.02,10000,15,2,0.10897094,612.5,888.14
0.02,0.02,10000,15,5,0.07429122,666.92,854.84
0.02,0.2,10000,15,1,0.13546061,500.0,842.65
0.02,0.02,10000,15,1,0.13546061,500.0,842.65
0.02,0.1,10000,15,1,0.13546061,500.0,842.65
0.5,0.2,10000,15,5,0.0,836.24,836.24
0.5,0.2,10000,15,2,0.0,836.24,836.24
0.5,0.1,10000,15,5,0.0,813.72,813.72
0.5,0.1,10000,15,2,0.0,813.72,813.72
0.1,0.02,10000,15,5,0.24554351,185.75,806.86
0.1,0.1,10000,15,5,0.0,795.01,795.01
0.5,0.02,10000,15,2,0.31074763,0.0,786.04
0.5,0.02,10000,15,5,0.31074763,0.0,786.04
0.05,0.02,10000,15,2,0.11668615,455.02,750.18
0.1,0.02,10000,15,2,0.13924235,382.45,734.67
0.5,0.02,10000,15,1,0.24072506,114.28,723.2
0.05,0.02,10000,15,5,0.13903584,367.84,719.53
1.0,0.02,10000,15,5,0.20053771,0.0,507.26
1.0,0.02,10000,15,1,0.20053771,0.0,507.26
1.0,0.02,10000,15,2,0.20053771,0.0,507.26
1.0,0.2,10000,15,5,0.0,403.91,403.91
1.0,0.2,10000,15,2,0.0,403.91,403.91
1.0,0.2,10000,15,1,0.0,403.91,403.91
