base_trade_percentage,trigger_percentage,max_trade_percentage,min_trade_percentage,multiplier,final_eth_balance,final_btc_balance,total_eth_value,total_btc_value,eth_performance_percent,btc_performance_percent,trade_count,starting_price,final_price,price_change_percent,trades_log_file
0.1,0.02,0.25,0.01,2,0.62552576,0.03701315,2.15752688,0.05212585,115.75,-34.57,907,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_1_tr0_02_max0_25_min0_01_mult2.csv
0.05,0.02,0.25,0.001,2,0.72127835,0.03363456,2.1134372,0.05106064,111.34,-35.91,920,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_05_tr0_02_max0_25_min0_001_mult2.csv
0.05,0.02,0.5,0.005,2,0.72071436,0.03360826,2.11178461,0.05102072,111.18,-35.96,912,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_05_tr0_02_max0_5_min0_005_mult2.csv
0.02,0.2,0.25,0.001,2,0.94401636,0.02807523,2.10607068,0.05088267,110.61,-36.13,12,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_02_tr0_2_max0_25_min0_001_mult2.csv
0.02,0.2,0.1,0.001,2,0.923329,0.02851301,2.10350328,0.05082064,110.35,-36.21,12,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_02_tr0_2_max0_1_min0_001_mult2.csv
0.02,0.2,0.1,0.01,2,0.95440725,0.02706273,2.07455333,0.05012121,107.46,-37.09,9,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_02_tr0_2_max0_1_min0_01_mult2.csv
0.02,0.2,0.25,0.005,5,1.69642613,0.00868759,2.056012,0.04967325,105.6,-37.65,12,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_02_tr0_2_max0_25_min0_005_mult5.csv
0.05,0.2,0.5,0.005,1,0.75385655,0.03145553,2.05582384,0.0496687,105.58,-37.66,12,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_05_tr0_2_max0_5_min0_005_mult1.csv
0.05,0.2,0.1,0.005,1,0.75385655,0.03145553,2.05582384,0.0496687,105.58,-37.66,12,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_05_tr0_2_max0_1_min0_005_mult1.csv
0.05,0.2,0.25,0.005,1,0.75385655,0.03145553,2.05582384,0.0496687,105.58,-37.66,12,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_05_tr0_2_max0_25_min0_005_mult1.csv
0.1,0.02,0.25,0.01,5,0.20162387,0.0445125,2.04402871,0.04938373,104.4,-38.02,871,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_1_tr0_02_max0_25_min0_01_mult5.csv
0.05,0.2,0.1,0.01,2,1.09345025,0.02261614,2.02954871,0.0490339,102.95,-38.46,12,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_05_tr0_2_max0_1_min0_01_mult2.csv
0.05,0.02,0.1,0.001,2,0.68534262,0.03195881,2.00814092,0.04851668,100.81,-39.1,927,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_05_tr0_02_max0_1_min0_001_mult2.csv
0.02,0.1,0.1,0.01,2,1.07379476,0.02247335,2.0039832,0.04841623,100.4,-39.23,39,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_02_tr0_1_max0_1_min0_01_mult2.csv
0.1,0.2,0.5,0.005,1,0.90881001,0.02634169,1.99911179,0.04829854,99.91,-39.38,12,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_1_tr0_2_max0_5_min0_005_mult1.csv
