ID,Date,Time,Action,Price,Quantity,ETH_Balance,BTC_Balance,Total_Balance_ETH,Total_Balance_BTC,Consecutive_Count,Actual_Trade_Percentage
000001,220526,101500,BUY,0.063478,0.062756,0.562756,0.035852,1.127556,0.071575,0,0.100000
000002,220613,104500,BUY,0.049917,0.128100,0.690855,0.029458,1.280996,0.063943,1,0.178352
000003,220715,213000,SELL,0.059902,0.069086,0.621770,0.033596,1.182626,0.070842,0,0.100000
000004,220725,003000,SELL,0.072213,0.108701,0.513069,0.041446,1.087010,0.078496,1,0.174825
000005,231009,180000,BUY,0.057480,0.072105,0.585174,0.037301,1.234120,0.070937,0,0.100000
000006,240515,170000,BUY,0.045950,0.139696,0.724869,0.030882,1.396957,0.064190,1,0.172085
000007,240523,130000,SELL,0.055170,0.072487,0.652383,0.034882,1.284638,0.070873,0,0.100000
000008,240805,030000,BUY,0.042930,0.081252,0.733635,0.031393,1.464903,0.062888,0,0.100000
000009,241115,153000,BUY,0.034320,0.164836,0.898471,0.025736,1.648360,0.056572,1,0.180203
000010,250203,024500,BUY,0.026700,0.186237,1.084708,0.020764,1.862373,0.049725,2,0.193212
000011,250406,154500,BUY,0.021250,0.206182,1.290890,0.016382,2.061822,0.043814,3,0.211011
000012,250513,204500,SELL,0.025580,0.129089,1.161801,0.019684,1.931324,0.049403,0,0.100000
