ID,Date,Time,Action,Price,Quantity,ETH_Balance,BTC_Balance,ETH_USD_Price,BTC_USD_Price,ETH_USD_Value,BTC_USD_Value,Trade_USD_Value,Total_Balance_USD,Consecutive_Count,Actual_Trade_Percentage
000001,250604,100616,SELL,0.024970,0.008389,0.033556,0.001247,2641.290000,105776.130000,88.63,131.95,22.16,220.58,0,0.200000
000002,250605,203337,BUY,0.024200,0.010227,0.044172,0.000990,2454.720000,101418.220000,108.43,100.41,25.11,208.84,0,0.200000
000003,250609,140803,BUY,0.023470,0.009333,0.166859,0.000777,2514.690000,107130.000000,419.60,83.20,23.47,502.79,1,0.220000
000004,250612,155805,BUY,0.025380,0.015451,0.174588,0.000392,2716.560000,107043.440000,474.28,41.98,41.97,516.26,2,0.500000
000005,250613,000748,BUY,0.024830,0.008124,0.182246,0.000202,2595.510000,104518.530000,473.02,21.08,21.09,494.11,3,0.500000
000006,250617,025601,SELL,0.024240,0.018211,0.163903,0.000646,2604.910000,107426.330000,426.95,69.42,47.42,496.38,0,0.100000
000007,250619,003403,SELL,0.024210,0.019649,0.144465,0.001116,2544.610000,105150.590000,367.61,117.37,50.02,484.98,1,0.200000
000008,250622,144629,SELL,0.022050,0.022828,0.121286,0.001627,2190.290000,99338.500000,265.65,161.66,50.00,427.31,2,0.400000
000009,250622,211559,SELL,0.022050,0.022784,0.098330,0.002133,2194.530000,99501.960000,215.79,212.22,49.99,428.01,3,0.500000
000010,250623,140022,SELL,0.022510,0.021684,0.076430,0.002625,2305.860000,102420.460000,176.24,268.87,49.99,445.10,4,0.500000
000011,250623,161310,BUY,0.022040,0.011941,0.088055,0.002369,2230.280000,101190.520000,196.39,239.67,26.63,436.06,0,0.100000
000012,250623,193709,SELL,0.022510,0.008810,0.079292,0.002565,2321.400000,103055.550000,184.07,264.38,20.44,448.45,0,0.100000
000013,250623,222453,SELL,0.022990,0.015820,0.063282,0.002933,2432.210000,105788.590000,153.91,310.30,38.48,464.21,1,0.200000
000014,250625,141425,BUY,0.022520,0.013041,0.076143,0.002643,2432.110000,107976.800000,185.19,285.39,31.72,470.58,0,0.100000
