ID,Date,Time,Action,Price,Quantity,RED_Balance,USDC_Balance,RED_USD_Price,USDC_USD_Price,RED_USD_Value,USDC_USD_Value,Trade_USD_Value,Total_Balance_USD,Consecutive_Count,Actual_Trade_Percentage
000001,250603,212500,BUY,0.349400,53.113157,588.829066,317.019633,0.350000,1.000000,206.09,317.02,18.59,523.11,0,0.100000
000002,250604,203120,BUY,0.334100,61.100002,596.815911,315.163859,0.333900,1.000000,199.28,315.16,20.40,514.44,1,0.110000
000003,250611,222205,BUY,0.336700,148.500149,745.258013,265.169970,0.336700,1.000000,250.93,265.17,50.00,516.10,2,0.500000
000004,250612,080343,BUY,0.326500,153.139357,898.256146,215.068140,0.326400,1.000000,293.19,215.07,49.98,508.26,3,0.500000
000005,250612,112212,BUY,0.316600,102.673563,1000.744907,182.506450,0.316500,1.000000,316.74,182.51,32.50,499.24,4,0.500000
000006,250612,194722,BUY,0.302500,53.627967,1054.301746,166.222460,0.302300,1.000000,318.72,166.22,16.21,484.94,5,0.500000
000007,250613,050457,SELL,0.297400,105.422286,948.800573,197.540628,0.296900,1.000000,281.70,197.54,31.35,479.24,0,0.100000
000008,250613,081455,SELL,0.297200,168.350168,941.819266,200.061143,0.297000,1.000000,279.72,200.06,50.03,479.78,1,0.200000
000009,250613,233711,SELL,0.296600,168.634064,941.666670,200.017441,0.296500,1.000000,279.20,200.02,50.02,479.22,2,0.400000
000010,250617,094135,BUY,0.281300,71.101530,1183.031864,180.007743,0.280900,1.000000,332.31,180.01,19.97,512.32,0,0.100000
000011,250617,164511,BUY,0.267200,134.704726,1317.667515,143.972411,0.267400,1.000000,352.34,143.97,36.02,496.32,1,0.200000
000012,250619,045001,SELL,0.280600,131.753482,1185.781342,180.943701,0.280900,1.000000,333.09,180.94,36.97,514.03,0,0.100000
000013,250620,192607,BUY,0.266300,67.943968,1253.678792,162.841308,0.266400,1.000000,333.98,162.84,18.10,496.82,0,0.100000
000014,250621,191057,BUY,0.252400,129.027454,1382.597773,130.266118,0.252500,1.000000,349.11,130.27,32.58,479.37,1,0.200000
000015,250622,132752,BUY,0.239600,208.681135,1591.128904,80.271027,0.239300,1.000000,380.76,80.27,49.94,461.03,2,0.400000
000016,250623,003854,SELL,0.252500,159.094950,1431.854554,120.417112,0.252500,1.000000,361.54,120.42,40.17,481.96,0,0.100000
000017,250623,134944,SELL,0.265200,188.750472,1243.099032,170.448917,0.264900,1.000000,329.30,170.45,50.06,499.75,1,0.200000
000018,250624,013038,SELL,0.278900,179.404377,1063.645127,220.318332,0.278700,1.000000,296.44,220.32,50.04,516.76,2,0.400000
000019,250626,135210,BUY,0.264300,83.331744,1146.981249,198.221220,0.263800,1.000000,302.57,198.22,21.98,500.79,0,0.100000
000020,250628,141456,SELL,0.277900,114.687037,1032.183332,230.109468,0.277900,1.000000,286.84,230.11,31.87,516.95,0,0.100000
000021,250628,232815,SELL,0.292100,171.408982,860.761387,280.151353,0.291700,1.000000,251.08,280.15,50.07,531.24,1,0.200000
000022,250629,230049,SELL,0.308600,162.232317,698.538052,330.080441,0.308200,1.000000,215.29,330.08,50.06,545.37,2,0.400000
000023,250701,115200,BUY,0.293000,112.606334,811.176703,296.942902,0.292800,1.000000,237.51,296.94,32.97,534.46,0,0.100000
000024,250702,162253,SELL,0.308800,81.106340,729.957059,322.023186,0.309400,1.000000,225.85,322.02,25.05,547.87,0,0.100000
000025,250703,165316,BUY,0.293300,109.787091,839.750490,289.804985,0.293100,1.000000,246.13,289.80,32.18,535.94,0,0.100000
000026,250704,133955,BUY,0.278000,179.856115,1019.515204,239.777929,0.278000,1.000000,283.43,239.78,50.00,523.20,1,0.200000
000027,250705,053617,SELL,0.292900,101.938818,917.449366,269.575699,0.292500,1.000000,268.35,269.58,29.86,537.93,0,0.100000
000028,250707,071837,SELL,0.308000,162.337662,755.150522,319.498670,0.308000,1.000000,232.59,319.50,50.00,552.09,1,0.200000
000029,250707,072359,SELL,0.332400,151.331719,603.856465,369.691013,0.330400,1.000000,199.51,369.69,50.30,569.21,2,0.400000
000030,250707,073647,BUY,0.314000,117.616326,721.504510,332.383738,0.314500,1.000000,226.91,332.38,36.99,559.30,0,0.100000
000031,250707,093052,BUY,0.298100,167.728950,889.105414,282.283024,0.296900,1.000000,263.98,282.28,49.80,546.26,1,0.200000
000032,250707,125411,BUY,0.283000,176.678445,1065.595594,232.402544,0.282900,1.000000,301.46,232.40,49.98,533.86,2,0.400000
000033,250708,151135,BUY,0.268800,186.011905,1251.464134,182.406714,0.268700,1.000000,336.27,182.41,49.98,518.68,3,0.500000
000034,250709,071216,SELL,0.283900,125.127553,1126.147976,217.906696,0.284800,1.000000,320.73,217.91,35.52,538.63,0,0.100000
000035,250710,041105,SELL,0.299200,167.224080,958.951449,267.973567,0.299000,1.000000,286.73,267.97,50.03,554.70,1,0.200000
000036,250710,142323,SELL,0.314500,159.033079,799.942450,317.912202,0.314400,1.000000,251.50,317.91,50.02,569.41,2,0.400000
000037,250710,220132,SELL,0.330400,151.607035,648.368495,367.892588,0.329800,1.000000,213.83,367.89,50.09,581.72,3,0.500000
000038,250711,094744,SELL,0.347900,143.802128,504.573401,417.784383,0.347700,1.000000,175.44,417.78,50.03,593.22,4,0.500000
000039,250711,222543,BUY,0.330000,126.567423,631.142952,375.905247,0.329800,1.000000,208.15,375.91,41.74,584.06,0,0.100000
000040,250713,032810,SELL,0.347200,63.105526,567.949733,397.757835,0.347000,1.000000,197.08,397.76,21.91,594.84,0,0.100000
000041,250714,191333,BUY,0.329300,120.777348,688.732607,357.947827,0.329100,1.000000,226.66,357.95,39.75,584.61,0,0.100000
000042,250715,180053,SELL,0.345800,68.864050,619.776449,381.733017,0.345300,1.000000,214.01,381.73,23.81,595.74,0,0.100000
000043,250718,035944,SELL,0.363400,123.948100,495.792399,426.696719,0.363100,1.000000,180.02,426.70,45.04,606.72,1,0.200000
000044,250718,201954,BUY,0.345100,123.610938,619.451437,383.923213,0.344600,1.000000,213.46,383.92,42.60,597.39,0,0.100000
000045,250720,111843,SELL,0.363100,61.932308,557.390771,406.423069,0.363100,1.000000,202.39,406.42,22.49,608.81,0,0.100000
000046,250722,083051,BUY,0.344900,117.826559,675.249638,365.745421,0.345500,1.000000,233.30,365.75,40.71,599.04,0,0.100000
000047,250722,114706,SELL,0.363900,67.511117,607.600052,390.174527,0.364000,1.000000,221.17,390.17,24.57,611.34,0,0.100000
000048,250723,212053,BUY,0.345000,113.088084,720.699253,351.138501,0.345100,1.000000,248.71,351.14,39.03,599.85,0,0.100000
000049,250726,204747,SELL,0.398600,72.060372,648.543352,379.789794,0.398700,1.000000,258.57,379.79,28.72,638.36,0,0.100000
000050,250728,140505,BUY,0.378300,100.383155,748.886879,341.774528,0.378200,1.000000,283.23,341.77,37.96,625.00,0,0.100000
000051,250728,212424,BUY,0.359300,139.159477,887.967821,291.755925,0.358700,1.000000,318.51,291.76,49.92,610.27,1,0.200000
000052,250729,074849,SELL,0.379300,88.787610,799.088494,325.412176,0.379800,1.000000,303.49,325.41,33.68,628.91,0,0.100000
000053,250729,101604,SELL,0.399000,125.313283,673.762821,375.376006,0.399000,1.000000,268.83,375.38,50.00,644.21,1,0.200000
